"country","emissions"
"Singapore",8928673.94559998
"Slovakia",5885174.59309998
"Slovenia",2202092.0372
"Small Island Developing States",74915209.0963999
"Solomon Islands",1385256.9241
"Somalia",14464996.9379
"South Africa",95323326.1204
"South America",944418862.1035
"South Sudan",9503787.87669998
"South-eastern Asia",680382915.7395
"Southern Africa",118974420.5243
"Southern Asia",879848016.7324
"Southern Europe",198559558.7201
"Spain",62878021.5423
"Sri Lanka",6529207.8898
"Sudan",16779638.2275
"Sudan (former)",31129351.5304
"Suriname",2496906.3862
"Svalbard and Jan Mayen Islands",0
"Sweden",13651808.6524
"Switzerland",9584664.3702
"Syrian Arab Republic",11739653.0491
"T?kiye",66866505.6857001
"Tajikistan",2953549.5387
"Thailand",73545673.5585999
"Timor-Leste",865989.8236
"Togo",2202168.8526
"Tokelau",195.8722
"Tonga",47596.5561
"Trinidad and Tobago",11083451.7686
"Tunisia",6999171.33880001
"Turkmenistan",17280140.3508
"Turks and Caicos Islands",27381.8472
"Tuvalu",4572.37019999998
"Uganda",15125549.4015
"Ukraine",66136881.85
"United Arab Emirates",30694297.1328
"United Kingdom of Great Britain and Northern Ireland",104974524.3325
"United Republic of Tanzania",40606099.6141
"United States of America",976077919.1966
"United States Virgin Islands",3778.07860000002
"Uruguay",11032215.0828
"Uzbekistan",34389991.8853999
"Vanuatu",163520.0688
"Venezuela (Bolivarian Republic of)",68632534.0521
"Viet Nam",53166963.1256
"Wallis and Futuna Islands",826.702999999999
"Western Africa",182153286.0664
"Western Asia",337509683.9454
"Western Europe",327802420.0143
"Western Sahara",-37640.899
"World",8864469396.87579
"Yemen",7890159.09660001
"Zambia",23592483.455
"Zimbabwe",12952166.8405
