"soc","onet_element_id","onet_rating_value"
"11-1031","2.C.4.b",2.01
"11-1031","2.C.4.c",1.69
"11-1031","2.C.4.d",1.74
"11-1031","1.A.1.a.1",4.62
"11-1031","1.A.1.a.3",4.5
"11-1031","1.A.4.b.4",4
"11-1031","1.A.4.b.5",4.25
"11-1031","2.A.1.b",4
"11-1031","2.A.1.d",4.25
"11-1031","2.C.9.b",3.02
"11-1031","4.C.1.a.2.c",3.07
"11-1031","1.A.1.a.2",4.25
"11-1031","1.A.1.a.4",4.12
"11-1031","2.A.1.a",4.12
"11-1031","2.A.1.c",4.12
"11-1031","4.A.4.a.1",4.15
"11-2011","1.C.4.a",4.18
"11-2011","1.C.4.b",4.35
"11-2011","1.C.4.c",4.42
"11-2011","2.A.2.b",3.25
"11-2011","4.A.2.b.3",3.78
"11-2011","2.B.3.e",1.75
"11-2011","2.C.3.a",3.31
"11-2011","4.A.3.b.1",4.61
"11-2011","4.A.3.b.6",3.31
"11-2011","4.C.1.a.2.h",5
"11-2011","1.A.1.b.2",3.75
"11-2011","1.C.7.a",3.99
"11-2011","2.C.7.c",2.35
"11-2011","4.A.2.b.2",4.05
"11-2011","1.A.1.b.4",3.88
"11-2011","1.A.1.b.5",3.5
"11-2011","1.C.7.b",3.88
"11-2011","2.A.2.a",4
"11-2011","2.B.3.a",2.75
"11-2011","2.B.4.g",3.12
"11-2011","4.A.2.a.4",3.26
"11-2011","2.C.1.e",4.16
"11-2011","4.A.4.a.6",3.64
"11-2011","4.A.4.a.8",3.18
"11-2011","4.C.1.b.1.f",4.19
"11-2011","4.C.1.d.1",3.15
"11-2011","4.C.1.d.2",2.92
"11-2011","1.A.1.g.1",2.88
"11-2011","1.C.5.b",4.48
"11-2011","4.C.3.a.1",2.19
"11-2011","4.C.3.b.4",4.3
"11-2011","1.A.2.a.3",1.62
"11-2011","1.A.2.b.1",1.12
"11-2011","1.A.2.c.2",1.75
"11-2011","4.C.2.d.1.g",2.07
"11-2011","1.C.3.b",3.81
"11-2011","1.C.3.c",3.7
"11-2011","2.B.1.a",4
"11-2011","2.B.1.f",3.12
"11-2011","4.A.4.a.4",4.01
"11-2011","4.A.4.a.5",2.37
"11-2011","1.C.2.b",4.03
"11-2011","2.B.5.d",3.12
"11-2011","4.A.4.b.1",3.07
"11-2011","4.A.4.b.2",2.96
"11-2011","4.A.4.b.3",2.74
"11-2011","4.A.4.b.4",2.98
"11-2011","4.A.4.b.5",2.62
"11-2011","4.C.1.c.2",3.8
"11-2011","1.A.1.c.1",3
"11-2011","1.A.1.c.2",2.88
"11-2011","2.A.1.e",3
"11-2011","2.C.4.a",3.16
"11-2011","2.B.3.c",1.12
"11-2011","2.B.3.d",1
"11-2011","2.B.3.h",1
"11-2011","2.B.3.j",1
"11-2011","2.B.3.k",1
"11-2011","2.B.3.l",1
"11-2011","2.C.3.e",1.41
"11-2011","4.A.3.a.3",1.85
"11-2011","4.A.3.a.4",1.82
"11-2011","4.A.3.b.4",1.21
"11-2011","4.A.3.b.5",1.34
"11-2011","1.A.2.b.2",1
"11-2011","1.A.3.a.1",1
"11-2011","1.A.3.a.3",1
"11-2011","1.A.3.a.4",1.62
"11-2011","1.A.3.b.1",1
"11-2011","1.A.3.c.1",1
"11-2011","1.A.3.c.3",1
"11-2011","1.A.3.c.4",1
"11-2011","4.A.3.a.1",1.9
"11-2011","4.C.2.d.1.d",1.97
"11-2011","4.C.2.d.1.h",1.31
"11-2011","2.B.2.i",3.5
"11-2011","2.B.4.e",3.75
"11-2011","2.B.4.h",3.12
"11-2011","4.A.2.b.1",3.82
"11-2011","4.C.3.a.2.a",4.03
"11-2011","4.C.3.a.2.b",4.31
"11-2011","4.C.3.a.4",4.04
"11-2011","2.B.5.b",2.75
"11-2011","2.B.5.c",2.62
"11-2011","4.A.2.b.5",3.34
"11-2011","4.A.2.b.6",4.17
"11-2011","4.A.4.c.3",2.52
"11-2011","2.A.1.f",1.62
"11-2011","2.C.4.b",1.34
"11-2011","2.C.4.c",1.22
"11-2011","2.C.4.d",1.23
"11-2011","1.A.1.a.1",4
"11-2011","1.A.1.a.3",4.25
"11-2011","1.A.4.b.4",3.88
"11-2011","1.A.4.b.5",4
"11-2011","2.A.1.b",4.12
"11-2011","2.A.1.d",4
"11-2011","2.C.9.b",4.35
"11-2011","4.C.1.a.2.c",2.55
"11-2011","1.A.1.a.2",4
"11-2011","1.A.1.a.4",3.88
"11-2011","2.A.1.a",3.75
"11-2011","2.A.1.c",3.75
"11-2011","4.A.4.a.1",3.01
"11-2021","1.C.4.a",3.87
"11-2021","1.C.4.b",4.01
"11-2021","1.C.4.c",4.31
"11-2021","2.A.2.b",3.88
"11-2021","4.A.2.b.3",3.83
"11-2021","2.B.3.e",1.88
"11-2021","2.C.3.a",3.51
"11-2021","4.A.3.b.1",4.4
"11-2021","4.A.3.b.6",3
"11-2021","4.C.1.a.2.h",5
"11-2021","1.A.1.b.2",3.62
"11-2021","1.C.7.a",4.15
"11-2021","2.C.7.c",1.7
"11-2021","4.A.2.b.2",4.28
"11-2021","1.A.1.b.4",3.88
"11-2021","1.A.1.b.5",3.75
"11-2021","1.C.7.b",4
"11-2021","2.A.2.a",3.88
"11-2021","2.B.3.a",3.38
"11-2021","2.B.4.g",3.25
"11-2021","4.A.2.a.4",3.75
"11-2021","2.C.1.e",3.85
"11-2021","4.A.4.a.6",4.27
"11-2021","4.A.4.a.8",2.81
"11-2021","4.C.1.b.1.f",4.25
"11-2021","4.C.1.d.1",3.18
"11-2021","4.C.1.d.2",2.74
"11-2021","1.A.1.g.1",2.88
"11-2021","1.C.5.b",4.32
"11-2021","4.C.3.a.1",2.76
"11-2021","4.C.3.b.4",3.81
"11-2021","1.A.2.a.3",1.75
"11-2021","1.A.2.b.1",1
"11-2021","1.A.2.c.2",1.62
"11-2021","4.C.2.d.1.g",2.31
"11-2021","1.C.3.b",3.37
"11-2021","1.C.3.c",3.8
"11-2021","2.B.1.a",3.88
"11-2021","2.B.1.f",3.12
"11-2021","4.A.4.a.4",4.68
"11-2021","4.A.4.a.5",2.44
"11-2021","1.C.2.b",4.37
"11-2021","2.B.5.d",3.38
"11-2021","4.A.4.b.1",3.97
"11-2021","4.A.4.b.2",4.08
"11-2021","4.A.4.b.3",3.14
"11-2021","4.A.4.b.4",3.84
"11-2021","4.A.4.b.5",3.36
"11-2021","4.C.1.c.2",4.04
"11-2021","1.A.1.c.1",3.12
"11-2021","1.A.1.c.2",3.12
"11-2021","2.A.1.e",2.75
"11-2021","2.C.4.a",3.51
"11-2021","2.B.3.c",1
"11-2021","2.B.3.d",1
"11-2021","2.B.3.h",1
"11-2021","2.B.3.j",1
"11-2021","2.B.3.k",1
"11-2021","2.B.3.l",1
"11-2021","2.C.3.e",1.33
"11-2021","4.A.3.a.3",1.2
"11-2021","4.A.3.a.4",1.78
"11-2021","4.A.3.b.4",1.14
"11-2021","4.A.3.b.5",1.15
"11-2021","1.A.2.b.2",1
"11-2021","1.A.3.a.1",1
"11-2021","1.A.3.a.3",1.25
"11-2021","1.A.3.a.4",1.75
"11-2021","1.A.3.b.1",1
"11-2021","1.A.3.c.1",1
"11-2021","1.A.3.c.3",1
"11-2021","1.A.3.c.4",1
"11-2021","4.A.3.a.1",1.71
"11-2021","4.C.2.d.1.d",1.95
"11-2021","4.C.2.d.1.h",1.22
"11-2021","2.B.2.i",3.62
"11-2021","2.B.4.e",3.75
"11-2021","2.B.4.h",3.5
"11-2021","4.A.2.b.1",4.34
"11-2021","4.C.3.a.2.a",4.15
"11-2021","4.C.3.a.2.b",4.1
"11-2021","4.C.3.a.4",4.42
"11-2021","2.B.5.b",2.88
"11-2021","2.B.5.c",2.62
"11-2021","4.A.2.b.5",3.4
"11-2021","4.A.2.b.6",4.35
"11-2021","4.A.4.c.3",3.18
"11-2021","2.A.1.f",1.75
"11-2021","2.C.4.b",1.18
"11-2021","2.C.4.c",1.21
"11-2021","2.C.4.d",1.1
"11-2021","1.A.1.a.1",4
"11-2021","1.A.1.a.3",4
"11-2021","1.A.4.b.4",3.62
"11-2021","1.A.4.b.5",3.75
"11-2021","2.A.1.b",3.88
"11-2021","2.A.1.d",3.88
"11-2021","2.C.9.b",3.8
"11-2021","4.C.1.a.2.c",3.35
"11-2021","1.A.1.a.2",4
"11-2021","1.A.1.a.4",3.88
"11-2021","2.A.1.a",3.88
"11-2021","2.A.1.c",3.25
"11-2021","4.A.4.a.1",3.39
"11-2022","1.C.4.a",4.3
"11-2022","1.C.4.b",4.52
"11-2022","1.C.4.c",4.57
"11-2022","2.A.2.b",3.75
"11-2022","4.A.2.b.3",3.83
"11-2022","2.B.3.e",1.62
"11-2022","2.C.3.a",3.17
"11-2022","4.A.3.b.1",4.27
"11-2022","4.A.3.b.6",3.22
"11-2022","4.C.1.a.2.h",5
"11-2022","1.A.1.b.2",3.62
"11-2022","1.C.7.a",4.13
"11-2022","2.C.7.c",1.35
"11-2022","4.A.2.b.2",4.36
"11-2022","1.A.1.b.4",3.88
"11-2022","1.A.1.b.5",3.75
"11-2022","1.C.7.b",4.14
"11-2022","2.A.2.a",3.88
"11-2022","2.B.3.a",2.62
"11-2022","2.B.4.g",3.62
"11-2022","4.A.2.a.4",3.91
"11-2022","2.C.1.e",4.48
"11-2022","4.A.4.a.6",4.7
"11-2022","4.A.4.a.8",3.7
"11-2022","4.C.1.b.1.f",4.26
"11-2022","4.C.1.d.1",3.22
"11-2022","4.C.1.d.2",3.23
"11-2022","1.A.1.g.1",2.62
"11-2022","1.C.5.b",4.09
"11-2022","4.C.3.a.1",1.7
"11-2022","4.C.3.b.4",3.73
"11-2022","1.A.2.a.3",1.75
"11-2022","1.A.2.b.1",1.62
"11-2022","1.A.2.c.2",1.5
"11-2022","4.C.2.d.1.g",1.52
"11-2022","1.C.3.b",3.74
"11-2022","1.C.3.c",3.83
"11-2022","2.B.1.a",3.88
"11-2022","2.B.1.f",3.88
"11-2022","4.A.4.a.4",4.35
"11-2022","4.A.4.a.5",2.52
"11-2022","1.C.2.b",4.57
"11-2022","2.B.5.d",3.75
"11-2022","4.A.4.b.1",4.13
"11-2022","4.A.4.b.2",4.23
"11-2022","4.A.4.b.3",4.22
"11-2022","4.A.4.b.4",4.14
"11-2022","4.A.4.b.5",4.3
"11-2022","4.C.1.c.2",3.7
"11-2022","1.A.1.c.1",3.12
"11-2022","1.A.1.c.2",3.12
"11-2022","2.A.1.e",3
"11-2022","2.C.4.a",3.09
"11-2022","2.B.3.c",1
"11-2022","2.B.3.d",1
"11-2022","2.B.3.h",1.75
"11-2022","2.B.3.j",1
"11-2022","2.B.3.k",1
"11-2022","2.B.3.l",1
"11-2022","2.C.3.e",1.87
"11-2022","4.A.3.a.3",1.52
"11-2022","4.A.3.a.4",2.09
"11-2022","4.A.3.b.4",1.43
"11-2022","4.A.3.b.5",1.52
"11-2022","1.A.2.b.2",1.5
"11-2022","1.A.3.a.1",1
"11-2022","1.A.3.a.3",1
"11-2022","1.A.3.a.4",1.75
"11-2022","1.A.3.b.1",1
"11-2022","1.A.3.c.1",1
"11-2022","1.A.3.c.3",1
"11-2022","1.A.3.c.4",1
"11-2022","4.A.3.a.1",1.87
"11-2022","4.C.2.d.1.d",2
"11-2022","4.C.2.d.1.h",1.22
"11-2022","2.B.2.i",3.75
"11-2022","2.B.4.e",3.75
"11-2022","2.B.4.h",3.62
"11-2022","4.A.2.b.1",4.09
"11-2022","4.C.3.a.2.a",3.65
"11-2022","4.C.3.a.2.b",3.65
"11-2022","4.C.3.a.4",4.13
"11-2022","2.B.5.b",3
"11-2022","2.B.5.c",2.88
"11-2022","4.A.2.b.5",3.74
"11-2022","4.A.2.b.6",4.33
"11-2022","4.A.4.c.3",3.64
"11-2022","2.A.1.f",1.62
"11-2022","2.C.4.b",1.52
"11-2022","2.C.4.c",1.39
"11-2022","2.C.4.d",1.35
"11-2022","1.A.1.a.1",4
"11-2022","1.A.1.a.3",4
"11-2022","1.A.4.b.4",3.88
"11-2022","1.A.4.b.5",3.88
"11-2022","2.A.1.b",4
"11-2022","2.A.1.d",4
"11-2022","2.C.9.b",3.17
"11-2022","4.C.1.a.2.c",3
"11-2022","1.A.1.a.2",4
"11-2022","1.A.1.a.4",3.88
"11-2022","2.A.1.a",3.88
"11-2022","2.A.1.c",3.62
"11-2022","4.A.4.a.1",3.61
"11-2032","1.C.4.a",3.86
"11-2032","1.C.4.b",4.36
"11-2032","1.C.4.c",4.36
"11-2032","2.A.2.b",3.38
"11-2032","4.A.2.b.3",4.27
"11-2032","2.B.3.e",1.38
"11-2032","2.C.3.a",3.5
"11-2032","4.A.3.b.1",4.24
"11-2032","4.A.3.b.6",2.95
"11-2032","4.C.1.a.2.h",4.95
"11-2032","1.A.1.b.2",3.75
"11-2032","1.C.7.a",3.59
"11-2032","2.C.7.c",1.55
"11-2032","4.A.2.b.2",4.45
"11-2032","1.A.1.b.4",3.88
"11-2032","1.A.1.b.5",3.62
"11-2032","1.C.7.b",3.45
"11-2032","2.A.2.a",3.88
"11-2032","2.B.3.a",2.75
"11-2032","2.B.4.g",3.12
"11-2032","4.A.2.a.4",3.45
"11-2032","2.C.1.e",3.95
"11-2032","4.A.4.a.6",3.86
"11-2032","4.A.4.a.8",4.18
"11-2032","4.C.1.b.1.f",3.77
"11-2032","4.C.1.d.1",3.14
"11-2032","4.C.1.d.2",3.09
"11-2032","1.A.1.g.1",2.88
"11-2032","1.C.5.b",4.82
"11-2032","4.C.3.a.1",2.86
"11-2032","4.C.3.b.4",4.18
"11-2032","1.A.2.a.3",1.62
"11-2032","1.A.2.b.1",1
"11-2032","1.A.2.c.2",1.38
"11-2032","4.C.2.d.1.g",1.73
"11-2032","1.C.3.b",3.55
"11-2032","1.C.3.c",3.71
"11-2032","2.B.1.a",4
"11-2032","2.B.1.f",3.12
"11-2032","4.A.4.a.4",4.59
"11-2032","4.A.4.a.5",2.73
"11-2032","1.C.2.b",4.05
"11-2032","2.B.5.d",2.62
"11-2032","4.A.4.b.1",3.95
"11-2032","4.A.4.b.2",3.91
"11-2032","4.A.4.b.3",3.18
"11-2032","4.A.4.b.4",3.41
"11-2032","4.A.4.b.5",3.59
"11-2032","4.C.1.c.2",3.5
"11-2032","1.A.1.c.1",2
"11-2032","1.A.1.c.2",2.12
"11-2032","2.A.1.e",2
"11-2032","2.C.4.a",2.23
"11-2032","2.B.3.c",1
"11-2032","2.B.3.d",1
"11-2032","2.B.3.h",1
"11-2032","2.B.3.j",1
"11-2032","2.B.3.k",1
"11-2032","2.B.3.l",1
"11-2032","2.C.3.e",1.09
"11-2032","4.A.3.a.3",1.36
"11-2032","4.A.3.a.4",1.41
"11-2032","4.A.3.b.4",1.05
"11-2032","4.A.3.b.5",1.23
"11-2032","1.A.2.b.2",1
"11-2032","1.A.3.a.1",1
"11-2032","1.A.3.a.3",1
"11-2032","1.A.3.a.4",1.62
"11-2032","1.A.3.b.1",1
"11-2032","1.A.3.c.1",1.12
"11-2032","1.A.3.c.3",1
"11-2032","1.A.3.c.4",1
"11-2032","4.A.3.a.1",1.59
"11-2032","4.C.2.d.1.d",1.91
"11-2032","4.C.2.d.1.h",1.33
"11-2032","2.B.2.i",3.38
"11-2032","2.B.4.e",3.5
"11-2032","2.B.4.h",3.25
"11-2032","4.A.2.b.1",4.41
"11-2032","4.C.3.a.2.a",4.05
"11-2032","4.C.3.a.2.b",4.1
"11-2032","4.C.3.a.4",3.81
"11-2032","2.B.5.b",1.88
"11-2032","2.B.5.c",1.75
