"soc","industry_code"
"23-2090","TE1000"
"23-2093","TE1000"
"23-2099","TE1000"
"25-0000","TE1000"
"25-1000","TE1000"
"25-1011","TE1000"
"25-1020","TE1000"
"25-1021","TE1000"
"25-1022","TE1000"
"25-1030","TE1000"
"25-1031","TE1000"
"25-1032","TE1000"
"25-1040","TE1000"
"25-1041","TE1000"
"25-1042","TE1000"
"25-1043","TE1000"
"25-1050","TE1000"
"25-1051","TE1000"
"25-1052","TE1000"
"25-1053","TE1000"
"25-1054","TE1000"
"25-1060","TE1000"
"25-1061","TE1000"
"25-1062","TE1000"
"25-1063","TE1000"
"25-1064","TE1000"
"25-1065","TE1000"
"25-1066","TE1000"
"25-1067","TE1000"
"25-1069","TE1000"
"25-1070","TE1000"
"25-1071","TE1000"
"25-1072","TE1000"
"25-1080","TE1000"
"25-1081","TE1000"
"25-1082","TE1000"
"25-1110","TE1000"
"25-1111","TE1000"
"25-1112","TE1000"
"25-1113","TE1000"
"25-1120","TE1000"
"25-1121","TE1000"
"25-1122","TE1000"
"25-1123","TE1000"
"25-1124","TE1000"
"25-1125","TE1000"
"25-1126","TE1000"
"25-1190","TE1000"
"25-1192","TE1000"
"25-1193","TE1000"
"25-1194","TE1000"
"25-1199","TE1000"
"25-2000","TE1000"
"25-2010","TE1000"
"25-2011","TE1000"
"25-2012","TE1000"
"25-2020","TE1000"
"25-2021","TE1000"
"25-2022","TE1000"
"25-2023","TE1000"
"25-2030","TE1000"
"25-2031","TE1000"
"25-2032","TE1000"
"25-2050","TE1000"
"25-2051","TE1000"
"25-2052","TE1000"
"25-2057","TE1000"
"25-2058","TE1000"
"25-2059","TE1000"
"25-3000","TE1000"
"25-3011","TE1000"
"25-3021","TE1000"
"25-3031","TE1000"
"25-3041","TE1000"
"25-3099","TE1000"
"25-4000","TE1000"
"25-4010","TE1000"
"25-4011","TE1000"
"25-4012","TE1000"
"25-4013","TE1000"
"25-4022","TE1000"
"25-4031","TE1000"
"25-9000","TE1000"
"25-9021","TE1000"
"25-9031","TE1000"
"25-9040","TE1000"
"25-9044","TE1000"
"25-9045","TE1000"
"25-9099","TE1000"
"27-0000","TE1000"
"27-1000","TE1000"
"27-1010","TE1000"
"27-1011","TE1000"
"27-1012","TE1000"
"27-1013","TE1000"
"27-1014","TE1000"
"27-1019","TE1000"
"27-1020","TE1000"
"27-1021","TE1000"
"27-1022","TE1000"
"27-1023","TE1000"
"27-1024","TE1000"
"27-1025","TE1000"
"27-1026","TE1000"
"27-1027","TE1000"
"27-1029","TE1000"
"27-2000","TE1000"
"27-2010","TE1000"
"27-2011","TE1000"
"27-2012","TE1000"
"27-2020","TE1000"
"27-2021","TE1000"
"27-2022","TE1000"
"27-2023","TE1000"
"27-2030","TE1000"
"27-2031","TE1000"
"27-2032","TE1000"
"27-2040","TE1000"
"27-2041","TE1000"
"27-2042","TE1000"
"27-2090","TE1000"
"27-2091","TE1000"
"27-2099","TE1000"
"27-3000","TE1000"
"27-3011","TE1000"
"27-3023","TE1000"
"27-3031","TE1000"
"27-3040","TE1000"
"27-3041","TE1000"
"27-3042","TE1000"
"27-3043","TE1000"
"27-3090","TE1000"
"27-3091","TE1000"
"27-3092","TE1000"
"27-3099","TE1000"
"27-4000","TE1000"
"27-4010","TE1000"
"27-4011","TE1000"
"27-4012","TE1000"
"27-4014","TE1000"
"27-4015","TE1000"
"27-4021","TE1000"
"27-4030","TE1000"
"27-4031","TE1000"
"27-4032","TE1000"
"27-4099","TE1000"
"29-0000","TE1000"
"29-1000","TE1000"
"29-1011","TE1000"
"29-1020","TE1000"
"29-1021","TE1000"
"29-1022","TE1000"
"29-1023","TE1000"
"29-1024","TE1000"
"29-1029","TE1000"
"29-1031","TE1000"
"29-1041","TE1000"
"29-1051","TE1000"
"29-1071","TE1000"
"29-1081","TE1000"
"29-1120","TE1000"
"29-1122","TE1000"
"29-1123","TE1000"
"29-1124","TE1000"
"29-1125","TE1000"
"29-1126","TE1000"
"29-1127","TE1000"
"29-1128","TE1000"
"29-1129","TE1000"
"29-1131","TE1000"
"29-1141","TE1000"
"29-1151","TE1000"
"29-1161","TE1000"
"29-1171","TE1000"
"29-1181","TE1000"
"29-1210","TE1000"
"29-1211","TE1000"
"29-1212","TE1000"
"29-1213","TE1000"
"29-1214","TE1000"
"29-1215","TE1000"
"29-1216","TE1000"
"29-1217","TE1000"
"29-1218","TE1000"
"29-1221","TE1000"
"29-1222","TE1000"
"29-1223","TE1000"
"29-1224","TE1000"
"29-1229","TE1000"
"29-1240","TE1000"
"29-1241","TE1000"
"29-1242","TE1000"
"29-1243","TE1000"
"29-1249","TE1000"
"29-1290","TE1000"
"29-1291","TE1000"
"29-1292","TE1000"
"29-1299","TE1000"
"29-2000","TE1000"
"29-2010","TE1000"
"29-2030","TE1000"
"29-2031","TE1000"
"29-2032","TE1000"
"29-2033","TE1000"
"29-2034","TE1000"
"29-2035","TE1000"
"29-2036","TE1000"
"29-2040","TE1000"
"29-2042","TE1000"
"29-2043","TE1000"
"29-2050","TE1000"
"29-2051","TE1000"
"29-2052","TE1000"
"29-2053","TE1000"
"29-2055","TE1000"
"29-2056","TE1000"
"29-2057","TE1000"
"29-2061","TE1000"
"29-2072","TE1000"
"29-2081","TE1000"
"29-2090","TE1000"
"29-2091","TE1000"
"29-2092","TE1000"
"29-2099","TE1000"
"29-9000","TE1000"
"29-9021","TE1000"
"29-9090","TE1000"
"29-9091","TE1000"
"29-9092","TE1000"
"29-9093","TE1000"
"29-9099","TE1000"
"31-0000","TE1000"
"31-1100","TE1000"
"31-1120","TE1000"
"31-1130","TE1000"
"31-1131","TE1000"
"31-1132","TE1000"
"31-1133","TE1000"
"31-2000","TE1000"
"31-2010","TE1000"
"31-2011","TE1000"
"31-2012","TE1000"
"31-2020","TE1000"
"31-2021","TE1000"
"31-2022","TE1000"
"31-9000","TE1000"
"31-9011","TE1000"
"31-9090","TE1000"
"31-9091","TE1000"
"31-9092","TE1000"
"31-9093","TE1000"
"31-9094","TE1000"
"31-9095","TE1000"
"31-9096","TE1000"
"31-9097","TE1000"
"31-9099","TE1000"
"33-0000","TE1000"
"33-1000","TE1000"
"33-1010","TE1000"
"33-1011","TE1000"
"33-1012","TE1000"
"33-1021","TE1000"
"33-1090","TE1000"
"33-1091","TE1000"
"33-1099","TE1000"
"33-2000","TE1000"
"33-2011","TE1000"
"33-2020","TE1000"
"33-2021","TE1000"
"33-2022","TE1000"
"33-3000","TE1000"
"33-3010","TE1000"
"33-3011","TE1000"
"33-3012","TE1000"
"33-3021","TE1000"
"33-3031","TE1000"
"33-3041","TE1000"
"33-3050","TE1000"
"33-3051","TE1000"
"33-3052","TE1000"
"33-9000","TE1000"
"33-9011","TE1000"
"33-9021","TE1000"
"33-9030","TE1000"
"33-9031","TE1000"
"33-9032","TE1000"
"33-9090","TE1000"
"33-9091","TE1000"
"33-9092","TE1000"
"33-9093","TE1000"
"33-9094","TE1000"
"33-9099","TE1000"
"35-0000","TE1000"
"35-1000","TE1000"
"35-1011","TE1000"
"35-1012","TE1000"
"35-2000","TE1000"
"35-2010","TE1000"
"35-2011","TE1000"
"35-2012","TE1000"
"35-2013","TE1000"
"35-2014","TE1000"
"35-2015","TE1000"
"35-2019","TE1000"
"35-2021","TE1000"
"35-3000","TE1000"
"35-3011","TE1000"
"35-3023","TE1000"
"35-3031","TE1000"
"35-3041","TE1000"
"35-9000","TE1000"
"35-9011","TE1000"
"35-9021","TE1000"
"35-9031","TE1000"
"35-9099","TE1000"
"37-0000","TE1000"
"37-1000","TE1000"
"37-1011","TE1000"
"37-1012","TE1000"
"37-2000","TE1000"
"37-2010","TE1000"
"37-2011","TE1000"
"37-2012","TE1000"
"37-2019","TE1000"
"37-2021","TE1000"
"37-3000","TE1000"
"37-3011","TE1000"
"37-3012","TE1000"
"37-3013","TE1000"
"37-3019","TE1000"
"39-0000","TE1000"
"39-1000","TE1000"
"39-1010","TE1000"
"39-1013","TE1000"
"39-1014","TE1000"
"39-1022","TE1000"
"39-2000","TE1000"
"39-2011","TE1000"
"39-2021","TE1000"
"39-3000","TE1000"
"39-3010","TE1000"
"39-3011","TE1000"
"39-3012","TE1000"
"39-3019","TE1000"
"39-3021","TE1000"
"39-3031","TE1000"
"39-3090","TE1000"
"39-3091","TE1000"
"39-3092","TE1000"
"39-3093","TE1000"
"39-3099","TE1000"
"39-4000","TE1000"
"39-4010","TE1000"
"39-4011","TE1000"
"39-4012","TE1000"
"39-4021","TE1000"
"39-4031","TE1000"
"39-5000","TE1000"
"39-5010","TE1000"
"39-5011","TE1000"
"39-5012","TE1000"
"39-5090","TE1000"
"39-5091","TE1000"
"39-5092","TE1000"
"39-5093","TE1000"
"39-5094","TE1000"
"39-6000","TE1000"
"39-6011","TE1000"
"39-6012","TE1000"
"39-7000","TE1000"
"39-7010","TE1000"
"39-9000","TE1000"
"39-9011","TE1000"
"39-9030","TE1000"
"39-9031","TE1000"
"39-9032","TE1000"
"39-9041","TE1000"
"39-9099","TE1000"
"41-0000","TE1000"
"41-1000","TE1000"
"41-1011","TE1000"
"41-1012","TE1000"
"41-2000","TE1000"
"41-2010","TE1000"
"41-2011","TE1000"
"41-2012","TE1000"
"41-2020","TE1000"
"41-2021","TE1000"
"41-2022","TE1000"
"41-2031","TE1000"
"41-3000","TE1000"
"41-3011","TE1000"
"41-3021","TE1000"
"41-3031","TE1000"
"41-3041","TE1000"
"41-3091","TE1000"
"41-4000","TE1000"
"41-4011","TE1000"
"41-4012","TE1000"
"41-9000","TE1000"
"41-9010","TE1000"
"41-9011","TE1000"
"41-9012","TE1000"
"41-9020","TE1000"
"41-9021","TE1000"
"41-9022","TE1000"
"41-9031","TE1000"
"41-9041","TE1000"
"41-9090","TE1000"
"41-9091","TE1000"
"41-9099","TE1000"
"43-0000","TE1000"
"43-1000","TE1000"
"43-1011","TE1000"
"43-2000","TE1000"
"43-2011","TE1000"
"43-2021","TE1000"
"43-2099","TE1000"
"43-3000","TE1000"
"43-3011","TE1000"
"43-3021","TE1000"
"43-3031","TE1000"
"43-3041","TE1000"
"43-3051","TE1000"
"43-3061","TE1000"
"43-3071","TE1000"
