1242023722	20240506	202405	2024	2024.3452											USA	CLEVELAND	USA								1	057	057	05	1	8.0	2	1	2	-5.71428571428571	0								3	Bell Acres, Pennsylvania, United States	US	USPA		40.5901	-80.1665	1193707	3	Sewickley, Pennsylvania, United States	US	USPA	PA003	40.5365	-80.1845	1187277	20250506061500	https://www.butlereagle.com/20250505/former-steelers-linebacker-devin-bush-accused-of-assaulting-girlfriend-in-his-pittsburgh-home/
1242023723	20240506	202405	2024	2024.3452											USA	CLEVELAND	USA								1	057	057	05	1	8.0	4	1	4	-5.71428571428571	0								3	Bell Acres, Pennsylvania, United States	US	USPA		40.5901	-80.1665	1193707	3	Bell Acres, Pennsylvania, United States	US	USPA		40.5901	-80.1665	1193707	20250506061500	https://www.butlereagle.com/20250505/former-steelers-linebacker-devin-bush-accused-of-assaulting-girlfriend-in-his-pittsburgh-home/
1242023724	20240506	202405	2024	2024.3452											USA	UNITED STATES	USA								1	057	057	05	1	8.0	4	1	4	-5.71428571428571	0								3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	20250506061500	https://www.butlereagle.com/20250505/former-steelers-linebacker-devin-bush-accused-of-assaulting-girlfriend-in-his-pittsburgh-home/
1242023725	20240506	202405	2024	2024.3452	COLEDU	COLOMBIA	COL					EDU			VEN	VENEZUELAN	VEN								1	010	010	01	1	0.0	2	1	2	-3.52220520673813	1	Colombia	CO	CO		4	-72	CO	4	Caracas, Distrito Federal, Venezuela	VE	VE25	31959	10.5	-66.9167	-938457	4	Caracas, Distrito Federal, Venezuela	VE	VE25	31959	10.5	-66.9167	-938457	20250506061500	https://www.seattletimes.com/seattle-news/law-justice/cantwell-murray-ask-trump-to-secure-release-of-wa-man-detained-in-venezuela/
1242023726	20240506	202405	2024	2024.3452	COLEDU	COLOMBIA	COL					EDU			VEN	VENEZUELAN	VEN								1	010	010	01	1	0.0	2	1	2	-3.52220520673813	1	Colombia	CO	CO		4	-72	CO	1	Colombia	CO	CO		4	-72	CO	1	Colombia	CO	CO		4	-72	CO	20250506061500	https://www.seattletimes.com/seattle-news/law-justice/cantwell-murray-ask-trump-to-secure-release-of-wa-man-detained-in-venezuela/
1242023727	20240506	202405	2024	2024.3452	COLEDU	COLOMBIA	COL					EDU			VENGOV	VENEZUELAN	VEN					GOV			1	010	010	01	1	0.0	4	1	4	-3.52220520673813	1	Colombia	CO	CO		4	-72	CO	4	Caracas, Distrito Federal, Venezuela	VE	VE25	31959	10.5	-66.9167	-938457	4	Caracas, Distrito Federal, Venezuela	VE	VE25	31959	10.5	-66.9167	-938457	20250506061500	https://www.seattletimes.com/seattle-news/law-justice/cantwell-murray-ask-trump-to-secure-release-of-wa-man-detained-in-venezuela/
1242023728	20240506	202405	2024	2024.3452	COLEDU	COLOMBIA	COL					EDU			VENGOV	VENEZUELA	VEN					GOV			1	010	010	01	1	0.0	2	1	2	-3.52220520673813	1	Colombia	CO	CO		4	-72	CO	4	Caracas, Distrito Federal, Venezuela	VE	VE25	31959	10.5	-66.9167	-938457	1	Colombia	CO	CO		4	-72	CO	20250506061500	https://www.seattletimes.com/seattle-news/law-justice/cantwell-murray-ask-trump-to-secure-release-of-wa-man-detained-in-venezuela/
1242023729	20240506	202405	2024	2024.3452	IRL	IRELAND	IRL																		1	172	172	17	4	-5.0	4	1	4	0.37128712871287	1	Ireland	EI	EI		53	-8	EI	0								1	Ireland	EI	EI		53	-8	EI	20250506061500	https://www.irishtimes.com/opinion/2025/05/06/eamon-ryan-heres-a-job-for-the-next-pope-deliver-us-from-climate-apathy/
1242023730	20240506	202405	2024	2024.3452	USA	CLEVELAND	USA																		1	057	057	05	1	8.0	2	1	2	-5.71428571428571	3	Bell Acres, Pennsylvania, United States	US	USPA	PA003	40.5901	-80.1665	1193707	0								3	Sewickley, Pennsylvania, United States	US	USPA	PA003	40.5365	-80.1845	1187277	20250506061500	https://www.butlereagle.com/20250505/former-steelers-linebacker-devin-bush-accused-of-assaulting-girlfriend-in-his-pittsburgh-home/
1242023731	20240506	202405	2024	2024.3452	USA	CLEVELAND	USA																		1	057	057	05	1	8.0	4	1	4	-5.71428571428571	3	Bell Acres, Pennsylvania, United States	US	USPA	PA003	40.5901	-80.1665	1193707	0								3	Bell Acres, Pennsylvania, United States	US	USPA		40.5901	-80.1665	1193707	20250506061500	https://www.butlereagle.com/20250505/former-steelers-linebacker-devin-bush-accused-of-assaulting-girlfriend-in-his-pittsburgh-home/
