1243699303	20240514	202405	2024	2024.3671	AFR	AFRICA	AFR																		1	043	043	04	1	2.8	1	1	1	-2.33333333333333	1	Netherlands	NL	NL		52.5	5.75	NL	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250514053000	https://twitchy.com/brettt/2025/05/13/biden-harris-staffer-says-afrikaners-can-go-back-to-germany-n2412771
1243699304	20240514	202405	2024	2024.3671	EDU	STUDENT						EDU			BGD	BANGLADESH	BGD								0	160	160	16	4	-4.0	1	1	1	-1.50862068965517	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20250514053000	https://news.webindia123.com/news/Articles/World/20250514/4316246.html
1243699305	20240514	202405	2024	2024.3671	EDU	STUDENT						EDU			BGDGOV	BANGLADESH	BGD					GOV			0	160	160	16	4	-4.0	1	1	1	-1.50862068965517	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20250514053000	https://news.webindia123.com/news/Articles/World/20250514/4316246.html
1243699306	20240514	202405	2024	2024.3671	EDU	STUDENT						EDU			BGDGOV	BANGLADESH	BGD					GOV			0	160	160	16	4	-4.0	3	1	3	-1.50862068965517	1	India	IN	IN		20	77	IN	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20250514053000	https://news.webindia123.com/news/Articles/World/20250514/4316246.html
1243699307	20240514	202405	2024	2024.3671	EDU	STUDENT						EDU			GOV	PRESIDENT						GOV			0	160	160	16	4	-4.0	2	1	2	-1.50862068965517	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20250514053000	https://news.webindia123.com/news/Articles/World/20250514/4316246.html
1243699308	20240514	202405	2024	2024.3671	EDU	STUDENT						EDU			GOV	PRESIDENT						GOV			0	160	160	16	4	-4.0	3	1	3	-1.50862068965517	1	India	IN	IN		20	77	IN	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20250514053000	https://news.webindia123.com/news/Articles/World/20250514/4316246.html
1243699309	20240514	202405	2024	2024.3671	MIL	CAPTAIN						MIL													1	010	010	01	1	0.0	10	1	10	0.61475409836065	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	0								2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	20250514053000	https://www.yahoo.com/news/south-carolina-law-allows-recreational-033012463.html
1243699310	20250414	202504	2025	2025.2849	GBRJUD	UNITED KINGDOM	GBR					JUD													0	120	120	12	3	-4.0	10	1	10	-1.43112701252236	1	United Kingdom	UK	UK		54	-4	UK	0								1	United Kingdom	UK	UK		54	-4	UK	20250514053000	http://www.starobserver.com.au/news/mother-of-transgender-teen-takes-qld-govt-to-the-supreme-court/236650
1243699311	20250414	202504	2025	2025.2849	LAB	WORKER						LAB													1	020	020	02	1	3.0	5	1	5	5.88235294117647	5	North Yorkshire, North Yorkshire, United Kingdom	UK	UKJ7	40123	54.1667	-1.5	-2604430	0								5	North Yorkshire, North Yorkshire, United Kingdom	UK	UKJ7	40123	54.1667	-1.5	-2604430	20250514053000	https://bmmagazine.co.uk/news/10-million-get-britain-working-programme-launches-in-york-and-north-yorkshire/
1243699312	20250414	202504	2025	2025.2849	SGP	SINGAPORE	SGP																		1	0831	083	08	2	5.0	5	1	5	0.18939393939394	1	China	CH	CH		35	105	CH	0								1	China	CH	CH		35	105	CH	20250514053000	https://www.channelnewsasia.com/singapore/ng-eng-hen-retirement-interview-defence-ties-geopolitical-politics-5128546
1243699313	20250414	202504	2025	2025.2849	SGPGOVMIL	SINGAPORE	SGP					GOV	MIL		SGP	SINGAPORE	SGP								1	0831	083	08	2	5.0	5	1	5	0.18939393939394	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20250514053000	https://www.channelnewsasia.com/singapore/ng-eng-hen-retirement-interview-defence-ties-geopolitical-politics-5128546
