1243410100	20150515	201505	2015	2015.3699	SYR	SYRIAN	SYR								GOV	REGIME						GOV			1	120	120	12	3	-4.0	10	1	10	-4.6267087276551	4	Lattakia, Al Ladhiqiyah, Syria	SY	SY02	26369	35.5148	35.7768	-2538325	4	Lattakia, Al Ladhiqiyah, Syria	SY	SY02	26369	35.5148	35.7768	-2538325	4	Lattakia, Al Ladhiqiyah, Syria	SY	SY02	26369	35.5148	35.7768	-2538325	20250512223000	https://syriauntold.com/2025/05/12/rateb-shabo-the-costal-massacres-caused-an-early-crack-in-the-building-of-a-national-state-after-the-assad-regime/
1243410101	20240512	202405	2024	2024.3616	AUSGOVBUS	ANTHONY ALBANESE	AUS					GOV	BUS		IDN	INDONESIAN	IDN								1	044	044	04	1	2.5	3	3	3	1.22699386503068	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	20250512223000	https://www.smh.com.au/national/australia-news-live-liberals-vote-on-a-leader-new-cabinet-sworn-in-20250513-p5lymp.html
1243410102	20240512	202405	2024	2024.3616	AUSGOVBUS	ANTHONY ALBANESE	AUS					GOV	BUS		IDN	INDONESIAN	IDN								1	044	044	04	1	2.5	6	3	6	1.22699386503068	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	1	Peru	PE	PE		-10	-76	PE	20250512223000	https://www.smh.com.au/national/australia-news-live-liberals-vote-on-a-leader-new-cabinet-sworn-in-20250513-p5lymp.html
1243410103	20240512	202405	2024	2024.3616	AUSGOVBUS	ANTHONY ALBANESE	AUS					GOV	BUS		IDNGOV	INDONESIA	IDN					GOV			1	044	044	04	1	2.5	6	3	6	1.22699386503068	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	20250512223000	https://www.smh.com.au/national/australia-news-live-liberals-vote-on-a-leader-new-cabinet-sworn-in-20250513-p5lymp.html
1243410104	20240512	202405	2024	2024.3616	AUSGOVBUS	ANTHONY ALBANESE	AUS					GOV	BUS		IDNGOV	INDONESIAN	IDN					GOV			1	044	044	04	1	2.5	12	3	12	1.22699386503068	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	1	Peru	PE	PE		-10	-76	PE	20250512223000	https://www.smh.com.au/national/australia-news-live-liberals-vote-on-a-leader-new-cabinet-sworn-in-20250513-p5lymp.html
1243410105	20240512	202405	2024	2024.3616	IDN	INDONESIAN	IDN								AUSGOVBUS	ANTHONY ALBANESE	AUS					GOV	BUS		1	044	044	04	1	2.5	3	3	3	1.22699386503068	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	20250512223000	https://www.smh.com.au/national/australia-news-live-liberals-vote-on-a-leader-new-cabinet-sworn-in-20250513-p5lymp.html
1243410106	20240512	202405	2024	2024.3616	IDN	INDONESIAN	IDN								AUSGOVBUS	ANTHONY ALBANESE	AUS					GOV	BUS		1	044	044	04	1	2.5	6	3	6	1.22699386503068	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	1	Peru	PE	PE		-10	-76	PE	20250512223000	https://www.smh.com.au/national/australia-news-live-liberals-vote-on-a-leader-new-cabinet-sworn-in-20250513-p5lymp.html
1243410107	20240512	202405	2024	2024.3616	IDNGOV	INDONESIA	IDN					GOV			AUSGOVBUS	ANTHONY ALBANESE	AUS					GOV	BUS		1	044	044	04	1	2.5	6	3	6	1.22699386503068	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	20250512223000	https://www.smh.com.au/national/australia-news-live-liberals-vote-on-a-leader-new-cabinet-sworn-in-20250513-p5lymp.html
1243410108	20240512	202405	2024	2024.3616	IDNGOV	INDONESIAN	IDN					GOV			AUSGOVBUS	ANTHONY ALBANESE	AUS					GOV	BUS		1	044	044	04	1	2.5	12	3	12	1.22699386503068	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	1	Peru	PE	PE		-10	-76	PE	20250512223000	https://www.smh.com.au/national/australia-news-live-liberals-vote-on-a-leader-new-cabinet-sworn-in-20250513-p5lymp.html
1243410109	20240512	202405	2024	2024.3616	USA	UNITED STATES	USA																		0	020	020	02	1	3.0	4	1	4	-0.64432989690721	3	Jonesboro, Louisiana, United States	US	USLA	LA049	32.2413	-92.716	1629964	0								3	Jonesboro, Louisiana, United States	US	USLA	LA049	32.2413	-92.716	1629964	20250512223000	https://www.yahoo.com/news/pay-stipends-louisiana-teachers-put-213829670.html
