1243694194	20240514	202405	2024	2024.3671											MED	TELEVISION						MED			0	040	040	04	1	1.0	1	1	1	-2.08643815201193	0								2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	20250514044500	https://www.kjzz.org/politics/2025-05-13/hobbs-signs-emilys-law-to-establish-alerts-for-missing-indigenous-peoples-in-arizona
1243694195	20240514	202405	2024	2024.3671	COPJUD	DEPUTY						COP	JUD		JUD	CONSTITUTIONAL COURT						JUD			0	043	043	04	1	2.8	6	1	6	-3.98040416411512	1	Uganda	UG	UG		2	33	UG	1	Uganda	UG	UG		2	33	UG	1	Uganda	UG	UG		2	33	UG	20250514044500	https://observer.ug/viewpoint/love-fear-hatred-and-others-human-emotion-and-the-1995-constitution/
1243694196	20240514	202405	2024	2024.3671	EDU	STUDENT						EDU			BGD	BANGLADESH	BGD								0	160	160	16	4	-4.0	1	1	1	-1.49892933618843	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20250514044500	https://aninews.in/news/world/asia/awami-league-activities-banned-to-protect-national-security-of-bangladesh-says-chief-advisers-press-secretary20250514095442/
1243694197	20240514	202405	2024	2024.3671	EDU	STUDENT						EDU			BGDGOV	BANGLADESH	BGD					GOV			0	160	160	16	4	-4.0	1	1	1	-1.49892933618843	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20250514044500	https://aninews.in/news/world/asia/awami-league-activities-banned-to-protect-national-security-of-bangladesh-says-chief-advisers-press-secretary20250514095442/
1243694198	20240514	202405	2024	2024.3671	EDU	STUDENT						EDU			BGDGOV	BANGLADESH	BGD					GOV			0	160	160	16	4	-4.0	3	1	3	-1.49892933618843	1	India	IN	IN		20	77	IN	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20250514044500	https://aninews.in/news/world/asia/awami-league-activities-banned-to-protect-national-security-of-bangladesh-says-chief-advisers-press-secretary20250514095442/
1243694199	20240514	202405	2024	2024.3671	EDU	STUDENT						EDU			GOV	PRESIDENT						GOV			0	160	160	16	4	-4.0	2	1	2	-1.49892933618843	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20250514044500	https://aninews.in/news/world/asia/awami-league-activities-banned-to-protect-national-security-of-bangladesh-says-chief-advisers-press-secretary20250514095442/
1243694200	20240514	202405	2024	2024.3671	EDU	STUDENT						EDU			GOV	PRESIDENT						GOV			0	160	160	16	4	-4.0	3	1	3	-1.49892933618843	1	India	IN	IN		20	77	IN	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20250514044500	https://aninews.in/news/world/asia/awami-league-activities-banned-to-protect-national-security-of-bangladesh-says-chief-advisers-press-secretary20250514095442/
1243694201	20240514	202405	2024	2024.3671	EUR	EUROPE	EUR								GOV	GOVERNMENT						GOV			1	051	051	05	1	3.4	10	1	10	0.35778175313059	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20250514044500	https://economictimes.indiatimes.com/industry/renewables/ev-sales-to-continue-growing-despite-trade-uncertainty-iea/articleshow/121152447.cms
1243694202	20240514	202405	2024	2024.3671	GOV	GOVERNMENT						GOV													1	020	020	02	1	3.0	6	1	6	-3.05676855895196	4	Gilgil, Rift Valley, Kenya	KE	KE08	18585	-0.489721	36.312	-2245419	0								4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	20250514044500	https://www.standardmedia.co.ke/counties/article/2001518947/dp-blames-soaring-land-prices-for-flood-victims-resettlement-delay
1243694203	20240514	202405	2024	2024.3671	GOV	GOVERNMENT						GOV			KEN	KENYA	KEN								1	020	020	02	1	3.0	2	1	2	-3.05676855895196	4	Gilgil, Rift Valley, Kenya	KE	KE08	18585	-0.489721	36.312	-2245419	4	Gilgil, Rift Valley, Kenya	KE	KE08	18585	-0.489721	36.312	-2245419	4	Gilgil, Rift Valley, Kenya	KE	KE08	18585	-0.489721	36.312	-2245419	20250514044500	https://www.standardmedia.co.ke/counties/article/2001518947/dp-blames-soaring-land-prices-for-flood-victims-resettlement-delay
