1243208848	20240512	202405	2024	2024.3616											ITA	ITALY	ITA								1	190	190	19	4	-10.0	6	1	6	-3.49854227405248	0								4	Porticello, Sicilia, Italy	IT	IT15	18395	38.1	13.5333	-125510	4	Porticello, Sicilia, Italy	IT	IT15	18395	38.1	13.5333	-125510	20250512010000	https://www.marinelink.com/news/diver-killed-during-salvage-bayesian-525579
1243208849	20240512	202405	2024	2024.3616	DEU	GERMAN	DEU								USA	AMERICAN	USA								1	112	112	11	3	-2.0	3	1	3	-0.51635111876075	1	Germany	GM	GM		51.5	10.5	GM	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	1	Germany	GM	GM		51.5	10.5	GM	20250512010000	https://katu.com/news/nation-world/us-initiatives-that-promote-democracy-abroad-wither-under-trump
1243208850	20240512	202405	2024	2024.3616	FRA	FRANCE	FRA								GOV	GOVERNMENT						GOV			0	100	100	10	3	-5.0	10	1	10	-3.63247863247863	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20250512010000	https://www.thenews.com.pk/print/1310768-foreign-criminal-and-visa-crackdowns-part-of-uk-plans-to-cut-immigration
1243208851	20240512	202405	2024	2024.3616	GBR	UNITED KINGDOM	GBR								ITA	ITALY	ITA								1	190	190	19	4	-10.0	2	1	2	-3.49854227405248	4	Porticello, Sicilia, Italy	IT	IT15	18395	38.1	13.5333	-125510	4	Porticello, Sicilia, Italy	IT	IT15	18395	38.1	13.5333	-125510	4	Porticello, Sicilia, Italy	IT	IT15	18395	38.1	13.5333	-125510	20250512010000	https://www.marinelink.com/news/diver-killed-during-salvage-bayesian-525579
1243208852	20240512	202405	2024	2024.3616	USA	UTAH	USA																		0	115	115	11	3	-2.0	3	1	3	-0.93652445369407	2	Utah, United States	US	USUT		40.1135	-111.854	UT	0								2	Utah, United States	US	USUT		40.1135	-111.854	UT	20250512010000	https://katu.com/news/nation-world/a-republican-push-to-sell-public-lands-in-the-west-is-reigniting-a-political-fight
1243208853	20250412	202504	2025	2025.2795	PAK	PAKISTAN	PAK																		1	051	051	05	1	3.4	4	1	4	-0.78740157480315	4	Karachi, Sindh, Pakistan	PK	PK05	40398	24.8667	67.05	-2764584	0								4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20250512010000	https://www.news18.com/india/unsung-hero-mumbai-airport-praised-for-seamlessly-handling-flight-surge-amid-pakistan-tensions-9332890.html
1243208854	20250412	202504	2025	2025.2795	PAK	PAKISTANI	PAK								IND	MUMBAI	IND								1	051	051	05	1	3.4	4	1	4	-0.78740157480315	4	Karachi, Sindh, Pakistan	PK	PK05	40398	24.8667	67.05	-2764584	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20250512010000	https://www.news18.com/india/unsung-hero-mumbai-airport-praised-for-seamlessly-handling-flight-surge-amid-pakistan-tensions-9332890.html
1243208855	20250505	202505	2025	2025.3425	LEG	SENATOR						LEG			CVL	NATIONALS						CVL			0	120	120	12	3	-4.0	1	1	1	-1.11524163568773	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20250512010000	https://www.northqueenslandregister.com.au/story/8963826/littleproud-vs-canavan-nationals-leadership-showdown/
1243208856	20250505	202505	2025	2025.3425	USAMIL	A US	USA					MIL			LEG	CONGRESS						LEG			0	013	013	01	1	0.4	4	1	4	2.73972602739726	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20250512010000	https://www.sbs.com.au/news/article/trump-reportedly-planning-to-accept-a-luxury-jet-from-qatar-to-use-as-air-force-one/nlzzzd3gk
1243208857	20250505	202505	2025	2025.3425	USAMIL	A US	USA					MIL			LEG	CONGRESS						LEG			0	013	013	01	1	0.4	6	1	6	2.73972602739726	1	Qatar	QA	QA		25.5	51.25	QA	1	Qatar	QA	QA		25.5	51.25	QA	1	Qatar	QA	QA		25.5	51.25	QA	20250512010000	https://www.sbs.com.au/news/article/trump-reportedly-planning-to-accept-a-luxury-jet-from-qatar-to-use-as-air-force-one/nlzzzd3gk
