1242453702	20240508	202405	2024	2024.3507	BUS	COMPANY						BUS													1	160	160	16	4	-4.0	3	1	3	-7.5812274368231	4	Montreal, Quebec, Canada	CA	CA10	12713	45.5	-73.5833	-569541	0								4	Montreal, Quebec, Canada	CA	CA10	12713	45.5	-73.5833	-569541	20250508011500	https://www.yahoo.com/news/judge-rules-delta-must-face-214337437.html
1242453703	20240508	202405	2024	2024.3507	BUS	COMPANY						BUS													1	160	160	16	4	-4.0	2	1	2	-7.5812274368231	2	Florida, United States	US	USFL		27.8333	-81.717	FL	0								2	Florida, United States	US	USFL		27.8333	-81.717	FL	20250508011500	https://www.yahoo.com/news/judge-rules-delta-must-face-214337437.html
1242453704	20240508	202405	2024	2024.3507	GOV	GOVERNMENT						GOV			AFR	AFRICA	AFR								1	051	051	05	1	3.4	10	1	10	-2.94871794871795	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20250508011500	https://www.marinelink.com/news/swire-shipping-bans-carriage-donkey-skins-525485
1242453705	20240508	202405	2024	2024.3507	IMGMOSALQ	AL QAEDA		ALQ		MOS		IMG			UIS	THE INTERNATIONAL COMMUNITY						UIS			1	042	042	04	1	1.9	5	1	5	-6.4516129032258	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	20250508011500	https://theconservativetreehouse.com/blog/2025/05/07/french-president-macron-asks-eu-and-usa-to-drop-sanctions-against-al-qaeda-in-syria/
1242453706	20240508	202405	2024	2024.3507	IMGMOSALQ	AL QAEDA		ALQ		MOS		IMG			UIS	THE INTERNATIONAL COMMUNITY						UIS			1	051	051	05	1	3.4	3	1	3	-6.4516129032258	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	20250508011500	https://theconservativetreehouse.com/blog/2025/05/07/french-president-macron-asks-eu-and-usa-to-drop-sanctions-against-al-qaeda-in-syria/
1242453707	20240508	202405	2024	2024.3507	MIL	BORDER SECURITY						MIL			GOV	GOVERNMENT						GOV			0	035	035	03	1	7.0	8	1	8	-3.55912743972446	4	English Channel, United Kingdom (general), United Kingdom	UK	UK00	154724	54.5833	-3.68333	-2595622	4	English Channel, United Kingdom (general), United Kingdom	UK	UK00	154724	54.5833	-3.68333	-2595622	4	English Channel, United Kingdom (general), United Kingdom	UK	UK00	154724	54.5833	-3.68333	-2595622	20250508011500	https://www.lbc.co.uk/news/uk/millions-spent-on-asylum-hotels-as-eu-rejects-uks-call-for-help-in-combatting-sm/
1242453708	20240508	202405	2024	2024.3507	MIL	BORDER SECURITY						MIL			GOV	GOVERNMENT						GOV			0	035	035	03	1	7.0	2	1	2	-3.55912743972446	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	English Channel, United Kingdom (general), United Kingdom	UK	UK00	154724	54.5833	-3.68333	-2595622	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250508011500	https://www.lbc.co.uk/news/uk/millions-spent-on-asylum-hotels-as-eu-rejects-uks-call-for-help-in-combatting-sm/
1242453709	20240508	202405	2024	2024.3507	OPP	OPPOSITION LEADER						OPP													0	051	051	05	1	3.4	6	1	6	-2.37226277372263	4	Caracas, Distrito Federal, Venezuela	VE	VE25	31959	10.5	-66.9167	-938457	0								4	Caracas, Distrito Federal, Venezuela	VE	VE25	31959	10.5	-66.9167	-938457	20250508011500	https://www.aol.com/news/venezuelan-government-surprised-rescue-argentine-183513682.html
1242453710	20240508	202405	2024	2024.3507	OPP	OPPOSITION LEADER						OPP			PTY	POLITICIAN									0	0253	025	02	1	-0.3	8	1	8	-2.37226277372263	4	Caracas, Distrito Federal, Venezuela	VE	VE25	31959	10.5	-66.9167	-938457	4	Caracas, Distrito Federal, Venezuela	VE	VE25	31959	10.5	-66.9167	-938457	4	Caracas, Distrito Federal, Venezuela	VE	VE25	31959	10.5	-66.9167	-938457	20250508011500	https://www.aol.com/news/venezuelan-government-surprised-rescue-argentine-183513682.html
1242453711	20240508	202405	2024	2024.3507	OPP	OPPOSITION LEADER						OPP			VEN	VENEZUELA	VEN								0	051	051	05	1	3.4	2	1	2	-2.37226277372263	4	Caracas, Distrito Federal, Venezuela	VE	VE25	31959	10.5	-66.9167	-938457	4	Caracas, Distrito Federal, Venezuela	VE	VE25	31959	10.5	-66.9167	-938457	4	Caracas, Distrito Federal, Venezuela	VE	VE25	31959	10.5	-66.9167	-938457	20250508011500	https://www.aol.com/news/venezuelan-government-surprised-rescue-argentine-183513682.html
