1242011339	20240506	202405	2024	2024.3452											CRM	CRIMINAL						CRM			1	190	190	19	4	-10.0	5	1	5	-7.01754385964912	0								4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	20250506041500	https://www.the-star.co.ke/news/2025-05-06-global-report-kenyas-women-left-to-die-or-disappear
1242011340	20240506	202405	2024	2024.3452	EDU	STUDENT						EDU													1	022	022	02	1	3.2	7	1	7	-1.46412884333821	4	Bizerte, Banzart, Tunisia	TS	TS18	39269	37.2744	9.87391	-723403	0								4	Bizerte, Banzart, Tunisia	TS	TS18	39269	37.2744	9.87391	-723403	20250506041500	https://www.the-star.co.ke/news/2025-05-06-pastors-100-days-ride-around-africa-raises-sh21-million
1242011341	20240506	202405	2024	2024.3452	GHA	GHANA	GHA																		0	061	061	06	2	6.4	5	1	5	4.64933018124508	4	Mahama, Ghana (general), Ghana	GH	GH00	190580	6.33333	-1.46667	-2075744	0								4	Mahama, Ghana (general), Ghana	GH	GH00	190580	6.33333	-1.46667	-2075744	20250506041500	https://african.business/2025/05/long-reads/ghana-eyes-greater-share-of-gold-revenues-amid-bull-market
1242011342	20240506	202405	2024	2024.3452	KEN	KENYA	KEN								EDU	STUDENT						EDU			1	022	022	02	1	3.2	3	1	3	-1.46412884333821	4	Bizerte, Banzart, Tunisia	TS	TS18	39269	37.2744	9.87391	-723403	4	Bizerte, Banzart, Tunisia	TS	TS18	39269	37.2744	9.87391	-723403	4	Bizerte, Banzart, Tunisia	TS	TS18	39269	37.2744	9.87391	-723403	20250506041500	https://www.the-star.co.ke/news/2025-05-06-pastors-100-days-ride-around-africa-raises-sh21-million
1242011343	20250406	202504	2025	2025.2630	GOV	PRESIDENT						GOV			LEG	LAWMAKER						LEG			0	020	020	02	1	3.0	10	1	10	2.321083172147	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20250506041500	https://www.oann.com/newsroom/texas-gov-abbott-signs-school-choice-bill-into-law/
1242011344	20250429	202504	2025	2025.3260											NGA	NIGERIA	NGA								1	043	043	04	1	2.8	4	1	4	0.36363636363637	0								5	Ekiti State, Ekiti, Nigeria	NI	NI54	22967	7.66667	5.25	9098618	5	Ekiti State, Ekiti, Nigeria	NI	NI54	22967	7.66667	5.25	9098618	20250506041500	https://thesun.ng/noa-declares-war-on-fgm-poor-sanitation-in-ekiti/
1242011345	20250429	202504	2025	2025.3260	CHN	CHINA	CHN								BUS	INVESTOR						BUS			1	010	010	01	1	0.0	2	1	2	-3.62903225806451	1	China	CH	CH		35	105	CH	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250506041500	https://www.independent.co.uk/news/world/americas/us-politics/us-hiring-recession-trump-tariffs-b2745297.html
1242011346	20250429	202504	2025	2025.3260	GOV	FOREIGN MINIST						GOV			RUS	RUSSIAN	RUS								0	040	040	04	1	1.0	4	1	4	-1.63934426229508	4	Pahalgam, Jammu and Kashmir, India	IN	IN12	72789	34.0333	75.3333	-2106704	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Pahalgam, Jammu and Kashmir, India	IN	IN12	72789	34.0333	75.3333	-2106704	20250506041500	https://www.gulte.com/political-news/352138/ahead-of-war-tensions-putin-calls-modi
1242011347	20250429	202504	2025	2025.3260	GOV	FOREIGN MINIST						GOV			RUSGOV	RUSSIA	RUS					GOV			0	040	040	04	1	1.0	2	1	2	-1.63934426229508	4	Pahalgam, Jammu and Kashmir, India	IN	IN12	72789	34.0333	75.3333	-2106704	4	Pahalgam, Jammu and Kashmir, India	IN	IN12	72789	34.0333	75.3333	-2106704	4	Pahalgam, Jammu and Kashmir, India	IN	IN12	72789	34.0333	75.3333	-2106704	20250506041500	https://www.gulte.com/political-news/352138/ahead-of-war-tensions-putin-calls-modi
1242011348	20250429	202504	2025	2025.3260	GOV	FOREIGN MINIST						GOV			RUSGOV	RUSSIAN	RUS					GOV			0	040	040	04	1	1.0	4	1	4	-1.63934426229508	4	Pahalgam, Jammu and Kashmir, India	IN	IN12	72789	34.0333	75.3333	-2106704	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Pahalgam, Jammu and Kashmir, India	IN	IN12	72789	34.0333	75.3333	-2106704	20250506041500	https://www.gulte.com/political-news/352138/ahead-of-war-tensions-putin-calls-modi
1242011349	20250429	202504	2025	2025.3260	NGA	NIGERIA	NGA																		1	042	042	04	1	1.9	4	1	4	0.36363636363637	5	Ekiti State, Ekiti, Nigeria	NI	NI54	22967	7.66667	5.25	9098618	0								5	Ekiti State, Ekiti, Nigeria	NI	NI54	22967	7.66667	5.25	9098618	20250506041500	https://thesun.ng/noa-declares-war-on-fgm-poor-sanitation-in-ekiti/
1242011350	20250429	202504	2025	2025.3260	PAK	PAKISTAN	PAK								RUS	RUSSIAN	RUS								0	040	040	04	1	1.0	4	1	4	-1.63934426229508	4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Pahalgam, Jammu and Kashmir, India	IN	IN12	72789	34.0333	75.3333	-2106704	20250506041500	https://www.gulte.com/political-news/352138/ahead-of-war-tensions-putin-calls-modi
